--------------------------------------------------------------------------
>>> Logging System turn on.
>>> mark 
12/30 18:35:01 - Read VertexShader 9 Error.. 
12/30 18:35:42 - >> New Field Scene
12/30 18:35:42 - >> Init Field Scene::Start
12/30 18:35:43 - >> Init Field Scene::End
12/30 18:38:19 - >> New Field Scene
12/30 18:38:19 - >> Init Field Scene::Start
12/30 18:38:19 - >> Init Field Scene::End
12/30 18:38:45 - >> New Field Scene
12/30 18:38:45 - >> Init Field Scene::Start
12/30 18:38:45 - >> Init Field Scene::End
12/30 18:57:31 - >> New Field Scene
12/30 18:57:31 - >> Init Field Scene::Start
12/30 18:57:31 - >> Init Field Scene::End
12/30 18:58:35 - >> New Field Scene
12/30 18:58:35 - >> Init Field Scene::Start
12/30 18:58:36 - >> Init Field Scene::End
12/30 19:00:08 - >> New Field Scene
12/30 19:00:08 - >> Init Field Scene::Start
12/30 19:00:09 - >> Init Field Scene::End
12/30 19:00:40 - >> New Field Scene
12/30 19:00:40 - >> Init Field Scene::Start
12/30 19:00:40 - >> Init Field Scene::End
12/30 19:00:40 - Invalide Item Class
12/30 19:04:33 - >> New Field Scene
12/30 19:04:33 - >> Init Field Scene::Start
12/30 19:04:33 - >> Init Field Scene::End
12/30 19:05:49 - >> New Field Scene
12/30 19:05:49 - >> Init Field Scene::Start
12/30 19:05:49 - >> Init Field Scene::End
